AACKODRAW & PAINT 1.00   GH 13
ACCPACK 3.0              ZH 9
ALIEN DOS                D- 6
APRENDENDO A CONTAR (*)  E- 7
AQUARELA 1.0             G- 31
ARK 1.1 / UNARC 1.6      ZM 32
ASTROCALC                E- 8
ASTROLOGIA NO MSX        A- 10
AZTEC C 1.06B            L- 118
BANDEIRAS DA EUROPA      E- 11
BDS C 1.44               L- 89
BDS C 1.50a              L- 98
BERNARD IN COUNTRY       E- 9
BKP                      C- 4
BKP DISCO 1.0            D- 28
BKP DOS 2.5 (*)          D- 66
BOOZ 2.01                ZH 9
BRASIL GEOGRAFICO 1.0    E- 75
BUC COMPOSER             T- 67
C/80 3.0                 L- 148
CAD MSX (3D)             G- 69
CALEND/BIORRITMO DOS     A- 9
CALENDARIO BASIC         A- 1
CALENDARIO DOS           A- 5
CARTOON                  G- 12
CHAVE MESTRA 1.1         C- 4
CHAVE MESTRA 2.0         C- 4
CHAVE MESTRA 3.0         C- 11
CHEESE                   G- 8
COBOL 80 4.01            L- 94
CODIGO DE BARRAS         A- 3
COMPACTO                 Z- 7
COMPOSITOR               S- 7
CONTAS PAG/REC           P- 5
CONTAS PAG/REC GAMA      P- 7
CONTROL NUNCA MAIS       D- 1
CONTROLE BANCARIO        P- 6
CONTROLE SOFTWARE MCC    B- 5
CONVSCAN                 G- 1
COPY BAIXARIA            C- 8
COPY GTS                 C- 3
COPY GTS PLUS            C- 3
COPYSCR ALEPH            I- 2
CORAL SIMPLE ASM 2.0     L- 9
CRC 1.1                  D- 2
CRUNCH/UNCR 2.4          Z- 9
CURSO DE BASIC ENGESOFT  E- 31
DATA FINDER              DH 7
DATA MANAGER             B- 2
DATAGEN                  L- 1
DATILOGRAFIA             A- 5
DBASE 2 2.4              L- 44
DBASE 2+ 1.0 40 COLUNAS  L- 61
DBASE 2+ 1.0 80 COLUNAS  L- 61
DDXDOS 1.20              D- 6
DE-LBR                   Z- 4
DEMO NATAL PSG           A- 8
DESPROTEGEDOR MEGAROM    C- 2
DEVPAC 80 HI-SOFT        L- 44
DISKIT 2.00              D- 13
DMXDOS 1.20              DM 11
DOS HELP PHILIPS         D- 20
E.C.M. 4.1               C- 6
E.V.A.                   GM 58
EASYGRAPH 1.0            G- 50
EDARQ 2.0                DH 6
EDDY 2                   G- 12
EDISK                    D- 5
EDIT 1.1                 DH 7
EDITCAR ALEPH            G- 5
EL CUERPO HUMANO S.R.    E- 11
EMULADOR ZX-81           A- 10
EMU                      S- 11
ESTOQUE CIBERTRON        B- 7
ESTOQUE GAMA             B- 6
EVERYCOPY 5.0            C- 4
EXECUTOR 1.1             D- 2
EXPERT LOGO DISCO        E- 10
EXPERT LOGO FITA         E- 10
FASTCOPY 360 Kb          C- 6
FINAN€AS DOMESTICAS      P- 8
FUNKEY ALEPH             A- 2
GAMEMASTER               A- 11
GERADORES DE FRACTAIS    G- 3
GRAF-MASTER II           G- 5
GRAPHIC MASTER 1.2       G- 21
GRAPHOS III 1.2          G- 15
GRAPHOS PRO 3.0          G- 360
HALL                     A- 7
HB 8000                  A- 9
HELLO 1.0                D- 12
HI-SOFT PASCAL COMPILER  L- 14
HI-TECH C COMPILER 3.09  L- 194
HIMEM                    D- 1
HOT DATA 1.1             B- 11
HOT MUSIC                S- 6
HOT TEXTO                T- 9
I CHING MCC              A- 8
IDEABASE                 B- 9
INTERMEGA 2.0            C- 6
KIT MICRO EMPRESA        B- 47
LA CELULA 1-2            E- 22
LANI 1.0 DEMO            I- 36
LINK-80 3.43             L- 8
LINK/UNLINK              Z  12
LINKER 1.25              Z- 9
LOTO II                  A- 6
LT29                     Z- 10
LZH 1.1                  Z- 16
M-CALC                   P- 11
MACRO 80                 LM 120
MALA DIRETA MCC          B- 10
MALA DIRETA MISTERSOFT   B- 3
MASTER CRUNCHER          Z- 17
MASTER VOICE 1.3         S- 3
MBASIC 5.03 CP/M         L- 18
MED                      TH 10
MEGA MUSIC 1 METAL GEAR  S- 8
MEGA MUSIC 2 PENGUIN     S- 21
MEGA MUSIC 3 SALAMANDER  S- 22
